,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
62,11500000000.0,-3.597719680E+01,-6.909355011E-01,11600000000.0,-3.367556759E+01,-1.177350989E+02,11700000000.0,"-3.600522762E+01
","1.431372289E+02
"
63,11500000000.0,-3.885062077E+01,-2.223084070E+01,11600000000.0,-3.821417320E+01,-1.355559004E+02,11700000000.0,"-3.978935326E+01
","1.264384122E+02
"
64,11500000000.0,-3.914814365E+01,-3.897152419E+00,11600000000.0,-3.836157175E+01,-1.179658447E+02,11700000000.0,"-4.126626870E+01
","1.394059394E+02
"
65,11500000000.0,-3.774762638E+01,2.874270323E+00,11600000000.0,-3.567371040E+01,-1.158493717E+02,11700000000.0,"-3.834900332E+01
","1.507581158E+02
"
66,11500000000.0,-3.636203122E+01,-7.744312413E+00,11600000000.0,-3.467085695E+01,-1.182219872E+02,11700000000.0,"-3.626070612E+01
","1.432826876E+02
"
67,11500000000.0,-3.630003674E+01,-1.706974426E+01,11600000000.0,-3.430629276E+01,-1.295064046E+02,11700000000.0,"-3.558882358E+01
","1.318398137E+02
"
68,11500000000.0,-3.750308903E+01,-2.826743551E+01,11600000000.0,-3.536160613E+01,-1.385628049E+02,11700000000.0,"-3.612129402E+01
","1.217947307E+02
"
69,11500000000.0,-3.576180450E+01,-1.553722714E+01,11600000000.0,-3.358165172E+01,-1.297253188E+02,11700000000.0,"-3.562865974E+01
","1.318108002E+02
"
70,11500000000.0,-3.446659557E+01,-5.115701593E+00,11600000000.0,-3.296595526E+01,-1.181882811E+02,11700000000.0,"-3.503668108E+01
","1.432393080E+02
"
71,11500000000.0,-3.660570086E+01,-1.908214962E+01,11600000000.0,-3.458351230E+01,-1.357523956E+02,11700000000.0,"-3.574753871E+01
","1.241930678E+02
"
72,11500000000.0,-3.732225083E+01,-2.982299423E+01,11600000000.0,-3.514453568E+01,-1.403811745E+02,11700000000.0,"-3.692039996E+01
","1.190650257E+02
"
73,11500000000.0,-3.673855121E+01,-1.689881843E+00,11600000000.0,-3.528533779E+01,-1.246914056E+02,11700000000.0,"-3.601031816E+01
","1.362783508E+02
"
74,11500000000.0,-3.892025745E+01,-4.162719286E+00,11600000000.0,-3.566539320E+01,-1.263109427E+02,11700000000.0,"-3.666547018E+01
","1.375886697E+02
"
75,11500000000.0,-3.735080447E+01,-1.659205401E+01,11600000000.0,-3.444206294E+01,-1.318270778E+02,11700000000.0,"-3.626953199E+01
","1.306075288E+02
"
